person_id,name,bat_hand,bowl_type
90de905a,K Gowtham,RHB,OB
800d2d97,JM Sharma,RHB,
8abdf100,CJ Anderson,LHB,RFM
3d284ca3,PD Salt,RHB,
c38d3503,Shivam Mavi,RHB,RFM
aaa1b522,TL Suman,RHB,
5afd4539,MS Bisla,RHB,
77b1aa15,Harshit Rana,RHB,RFM
6aed7e79,PV Tambe,RHB,LB
c33d8116,Mohsin Khan,RHB,LFM
91ffa6c6,JD Ryder,LHB,RM
85b3fab2,T Stubbs,RHB,
f1f99156,TH David,RHB,
c404f58a,DP Nannes,RHB,LF
72861603,GC Smith,LHB,
b1451597,LR Shukla,LHB,RM
2498e163,JR Hopes,RHB,RFM
7ca5e05d,RS Bopara,RHB,RM
26989d80,Shashank Singh,RHB,
557153ca,KK Cooper,RHB,RFM
8e514b4c,Abdul Samad,RHB,LB
f834dcfc,L Ngidi,RHB,RFM
21d4e29b,NA Saini,RHB,RF
d7017798,A Raghuvanshi,RHB,
45c2196c,DE Bollinger,LHB,LFM
db31895a,AS Rajpoot,RHB,RFM
d1a60072,N Wadhera,LHB,
05c2ca46,RE van der Merwe,LHB,SLA
ad427b5c,Lalit Yadav,RHB,OB
9caf69a1,WG Jacks,RHB,OB
25eeb281,PC Valthaty,LHB,
871e9faf,Basil Thampi,RHB,RFM
62af8546,Mohammad Nabi,RHB,OB
13fc5c6d,DS Rathi,RHB,LB
7dcb9bc9,M Shahrukh Khan,RHB,
fcc21ace,A Kamboj,RHB,RFM
54e52590,Vijaykumar Vyshak,RHB,RFM
2a72fd4f,Harmeet Singh,LHB,SLA
c18496e1,Bipul Sharma,LHB,SLA
b8527c3d,Rasikh Salam,RHB,RFM
addfb70e,SW Tait,RHB,RF
f088b960,SN Khan,RHB,
5056011d,GJ Bailey,RHB,
c654af19,R McLaren,RHB,RFM
ad3b6e95,Abishek Porel,LHB,
c5aef772,R Shepherd,RHB,RFM
4c5d73db,CR Woakes,RHB,RFM
81c08fa3,Umran Malik,RHB,RF
5750bcb4,E Malinga,RHB,RFM
d8b2f218,BB Sran,LHB,LFM
c42aaf71,M Manhas,RHB,
765a4731,Mukesh Choudhary,LHB,LFM
6eb146d2,Gurkeerat Singh,RHB,OB
e66732f8,RD Rickelton,LHB,
2cdce1be,C Sakariya,LHB,LFM
5d096f3d,RR Powar,RHB,OB
12314277,Arshad Khan,LHB,LM
4b31f3a3,Yash Thakur,RHB,RFM
14f96089,A Zampa,RHB,LB
0ebfb1ad,E Lewis,LHB,
fffa744b,Naman Dhir,RHB,OB
4125d931,J Suchith,LHB,SLA
5b040b81,A Singh,RHB,RM
c03c6200,DJG Sammy,RHB,RM
